"","X","id","fsecurity","hhsize","female","kids","elderly","black","hispanic","education","employed","married","disability"
"120",120,20181002432400,0,3,3,2,0,0,0,0,1,0,0
"121",121,20181002433200,NA,1,1,0,1,0,0,0,0,0,1
"122",122,20181002433300,0,4,1,0,0,0,0,1,4,2,0
"123",123,20181002433400,0,2,1,0,0,0,0,0,1,2,0
"124",124,20181002433900,0,4,2,2,0,0,0,2,2,2,0
"125",125,20181002435500,0,1,0,0,0,0,0,1,1,0,0
"126",126,20181002435700,0,2,1,0,0,0,0,2,2,2,0
"127",127,20181002436800,0,1,0,0,0,0,1,1,1,0,0
"128",128,20181002436900,0,1,0,0,0,0,0,1,1,0,0
"129",129,20181002439200,0,5,2,3,0,0,0,0,2,2,0
"130",130,20181002440000,0,2,1,0,1,0,2,1,1,0,1
"131",131,20181002441000,0,4,2,2,0,0,0,2,2,2,0
"132",132,20181002441600,0,1,1,0,1,0,0,0,0,0,0
"133",133,20181002442600,NA,1,1,0,1,0,0,0,0,0,1
"134",134,20181002444000,0,4,1,2,0,0,0,2,2,2,0
"135",135,20181102383200,NA,2.5,2,0,0,0,0,1,4,2,0
"136",136,20181102384000,NA,2,1,0,0,0,2,0,1,2,0
"137",137,20181102385400,0,1,1,0,0,0,0,0,0,0,0
"138",138,20181102386000,0,5,1,2,1,0,0,2,2,2,1
"139",139,20181102387000,NA,1,1,0,0,0,0,0,1,0,0
"140",140,20181102387400,1,4,2,2,0,0,0,0,1,2,0
"141",141,20181102388600,0,1,0,0,0,0,0,0,1,0,0
"142",142,20181102389500,0,1,0,0,0,0,0,1,1,0,0
"143",143,20181102390800,0,2,1,0,1,0,0,2,1,2,0
"144",144,20181102392400,0,3,2,0,1,0,0,2,2,2,0
"145",145,20181102393100,0,2,1,0,2,0,0,2,0,2,0
"146",146,20181102394200,0,2,1,0,0,0,0,2,2,2,0
"147",147,20181102398400,NA,2,1,0,2,0,0,2,0,2,0
"148",148,20181102398900,0,2,1,0,0,0,0,2,2,2,0
"149",149,20181102399900,0,2,2,0,1,0,0,0,2,0,0
"150",150,20181102400000,NA,2,1,0,1,0,0,0,1,2,0
"151",151,20181102400400,0,2,1,0,0,0,0,0,2,0,0
"152",152,20181102401800,0,4,2,2,1,0,0,0,0,0,1
"153",153,20181102403600,0,2,1,0,1,0,0,1,0,2,0
"154",154,20181102404400,0,2,1,0,1,0,0,0,1,2,0
"155",155,20181102404700,0,2,1,0,2,0,0,2,1,2,1
"156",156,20181102405100,0,4,2,2,0,0,0,1,4,2,0
"157",157,20181102406800,0,2,1,0,0,0,0,1,2,2,0
"158",158,20181102407500,NA,1,1,0,1,0,0,0,0,0,0
"159",159,20181102409600,2,1,1,0,1,0,0,0,0,0,1
"160",160,20181102410900,NA,2,1,0,0,0,0,0,2,2,0
"161",161,20181102411900,0,2,1,0,1,0,0,0,0,2,0
"162",162,20181102412300,0,6,2,4,0,0,0,1,2,2,0
"163",163,20181102413000,0,1,0,0,0,0,0,1,1,0,0
"164",164,20181102413900,0,6,4,4,0,0,0,1,1,2,0
"165",165,20181102414200,0,1,1,0,0,0,0,1,1,0,0
"166",166,20181102414400,NA,3,3,2,0,0,0,0,2,0,1
