"","X","id","fsecurity","hhsize","female","kids","elderly","black","hispanic","education","employed","married","disability"
"429",429,20191102348100,0,1,0,0,0,0,0,1,1,0,0
"430",430,20191102350800,0,2,1,0,0,0,0,1,2,2,0
"431",431,20191102351000,2,5,2,2,1,0,5,0,1,2,0
"432",432,20191102354200,0,1,1,0,1,0,0,0,1,0,0
"433",433,20191102354700,0,2,1,0,0,0,0,2,2,0,0
"434",434,20191102355800,0,2,1,0,1,0,0,2,2,2,0
"435",435,20191102356300,0,2,1,0,1,0,0,2,1,2,0
"436",436,20191102357600,NA,2,1,0,0,0,0,2,2,2,0
"437",437,20191102357700,0,1,1,0,0,0,0,0,1,0,0
"438",438,20191102357800,0,2,1,0,2,0,0,1,0,2,0
"439",439,20191102358700,NA,4,3,1,0,0,0,2,2,2,0
"440",440,20191102358900,0,2,1,0,0,0,0,1,1,2,0
"441",441,20191102360400,0,1,0,0,0,0,0,1,1,0,0
"442",442,20191102361000,0,4,2,2,0,0,0,1,3,2,0
"443",443,20191102361400,0,4,3,1,0,0,0,0,3,2,0
"444",444,20191102361900,NA,2,1,0,0,0,0,0,2,2,0
"445",445,20191102363600,7,2,1,0,0,0,0,1,2,0,1
"446",446,20191102363900,0,1,1,0,1,0,0,0,0,0,1
"447",447,20191102365200,NA,2,1,0,2,0,0,0,0,2,0
"448",448,20191102365400,2,6,1,4,0,0,0,2,1,2,0
"449",449,20191102366400,0,2,1,0,0,0,0,2,2,2,0
"450",450,20191102368400,0,2,1,0,0,0,0,0,1,2,1
"451",451,20191102368800,NA,1,0,0,0,0,0,0,0,0,1
"452",452,20191102369400,0,2,1,0,2,0,0,0,2,2,1
"453",453,20191102372300,NA,1,1,0,0,0,0,1,1,0,0
"454",454,20191102375700,1,4,3,3,0,0,0,1,1,0,0
"455",455,20191102377100,0,1,0,0,0,0,0,0,0,0,0
"456",456,20191102377700,0,2,1,0,0,0,0,0,2,0,0
"457",457,20191102378300,0,3,1,0,0,0,0,2,1,2,1
"458",458,20191102378700,0,4,2,1,0,0,0,0,2,2,0
"459",459,20191102379100,0,1,1,0,1,0,0,0,0,0,0
"460",460,20191102379500,NA,1,1,0,0,0,0,1,0,0,0
"461",461,20191102380400,NA,1,0,0,0,0,0,0,1,0,0
"462",462,20191102380700,0,2,1,0,2,0,0,1,1,0,0
"463",463,20191102381000,NA,2,1,0,2,0,0,0,0,2,1
"464",464,20191102381500,0,1,0,0,0,0,0,0,0,0,1
"465",465,20191102382600,0,1,1,0,1,0,0,0,0,0,0
"466",466,20191102384300,0,1,1,0,1,0,0,0,0,0,1
"467",467,20191102385100,0,2,1,0,2,0,0,0,0,2,0
"468",468,20191102386400,0,1,1,0,1,0,0,1,0,0,1
"469",469,20191102386500,0,1,1,0,1,0,0,0,0,1,0
"470",470,20191102387100,NA,1,1,0,0,0,0,1,0,0,0
"471",471,20191102387300,0,1,0,0,1,0,0,0,0,0,0
"472",472,20191102387600,0,3,1,1,0,0,0,2,2,2,0
"473",473,20191102388100,0,1,0,0,0,0,0,1,1,0,0
"474",474,20191102388400,0,1,0,0,0,0,0,0,1,0,0
"475",475,20191102388800,NA,5,3,3,0,0,0,2,2,2,0
"476",476,20191102389200,0,2,1,0,2,0,0,0,0,2,0
"477",477,20191102389600,5,4,3,3,0,0,0,1,1,0,0
"478",478,20191102390800,NA,1,5,0,0,0,0,0,2,0,0
"479",479,20191102391000,0,3,2,1,0,1,0,1,3,2,1
"480",480,20191102391700,0,2,1,0,2,0,0,1,0,2,1
"481",481,20191102392300,0,1,1,0,1,0,0,1,1,0,0
"482",482,20191102392600,NA,1,0,0,0,0,0,0,1,0,0
"483",483,20191102396900,NA,3,1,1,0,0,0,1,2,2,0
"484",484,20191102397400,0,4,0,2,0,0,0,1,2,0,0
"485",485,20191102399700,0,2,1,0,0,0,0,1,2,2,0
"486",486,20191102400000,0,1,0,0,0,0,1,1,1,0,0
"487",487,20191102400300,0,1,0,0,0,0,0,1,1,0,0
"488",488,20191102401200,1,3,2,0,2,0,0,0,1,0,1
"489",489,20191102401400,NA,3,3,2,0,0,0,1,1,0,0
"490",490,20191102401800,0,1,0,0,1,0,0,1,0,0,0
"491",491,20191102402300,NA,2,1,0,0,0,0,0,2,2,0
"492",492,20191102402400,0,3,1,1,0,0,0,0,2,2,0
"493",493,20191102403600,NA,4,2,2,0,0,0,1,2,0,0
"494",494,20191102404200,NA,3,2,2,0,0,0,0,1,0,0
"495",495,20191102405500,0,1,1,0,1,0,0,0,0,0,1
"496",496,20191102405900,0,1,1,0,1,0,0,0,1,0,0
"497",497,20191102406100,0,4,3,2,1,0,0,1,0,2,0
"498",498,20191102407300,0,1,0,0,1,0,0,0,0,0,0
"499",499,20191102410600,0,3,2,0,0,0,3,2,2,2,0
"500",500,20191102413300,0,2,1,0,0,0,0,1,2,0,0
"501",501,20191102415500,NA,1,0,0,1,1,0,0,0,0,0
"502",502,20191102416000,NA,4,3,1,1,0,4,1,2,0,1
"503",503,20191102416700,0,1,1,0,0,0,0,1,0,0,0
"504",504,20191102416800,NA,3.4,2,0,0,0,0,3,3,2,1
"505",505,20191102417200,0,2,1,0,0,0,0,2,1,2,0
"506",506,20191102417900,NA,1,0,0,1,0,0,0,1,0,0
"507",507,20191102418400,NA,4,3,2,0,0,0,0,2,2,0
"508",508,20191202349800,0,3,2,0,1,0,0,1,2,2,1
"509",509,20191202351000,0,5,3,1,0,0,5,0,2,2,0
"510",510,20191202355300,0,1,1,0,1,0,0,0,1,0,0
"511",511,20191202355500,0,3,1,1,0,0,0,2,0,0,0
"512",512,20191202355800,3,1,1,0,0,0,1,0,0,0,1
"513",513,20191202355900,NA,1,0,0,1,0,0,0,1,0,1
"514",514,20191202356200,NA,1,0,0,0,0,1,1,1,0,0
"515",515,20191202357100,0,2,1,0,2,0,0,0,0,2,0
"516",516,20191202357400,NA,3,1,1,2,0,0,0,0,2,1
"517",517,20191202357500,0,2,1,0,1,0,0,0,0,2,0
"518",518,20191202357600,0,2,1,0,1,0,2,1,1,0,0
"519",519,20191202357700,7,1,1,0,1,0,0,0,1,0,1
"520",520,20191202359200,6,1,1,0,1,0,0,0,1,0,1
"521",521,20191202359600,0,6,3,3,0,2,0,2,3,2,1
"522",522,20191202360400,0,3,2,1,0,0,0,1,2,0,0
"523",523,20191202360600,1,2,1,0,0,0,0,0,2,2,0
"524",524,20191202361100,7,3,1,2,0,0,0,0,1,0,0
"525",525,20191202361500,0,2,1,0,2,0,0,0,0,2,0
"526",526,20191202362300,0,2,1,0,0,0,0,2,1,2,0
"527",527,20191202362400,0,2,1,0,0,0,0,1,1,2,1
"528",528,20191202363300,NA,3,2,1,0,0,1,0,2,0,0
"529",529,20191202363500,0,4,2,2,0,0,0,2,3,2,0
"530",530,20191202364200,0,2,1,0,2,0,0,0,0,2,0
"531",531,20191202364600,0,2,1,0,1,0,0,1,1,2,0
"532",532,20191202364900,NA,4,2,1,0,0,0,1,2,2,0
"533",533,20191202365000,0,2,1,0,0,0,0,0,2,2,0
"534",534,20191202365400,0,2,1,0,2,0,0,0,0,2,0
"535",535,20191202365600,0,5,1,3,0,0,0,2,2,2,0
"536",536,20191202366200,NA,2,1,0,0,0,0,0,1,2,0
"537",537,20191202370700,NA,2,1,0,1,0,1,1,1,2,1
"538",538,20191202371200,NA,7,3,6,0,0,0,1,1,1,1
"539",539,20191202371800,0,1,1,0,0,0,0,0,1,0,0
"540",540,20191202372000,0,2,2,0,0,0,0,1,2,0,0
"541",541,20191202372400,NA,4,2,1,0,0,0,2,3,2,0
"542",542,20191202373100,0,2,1,0,0,0,0,2,1,2,0
"543",543,20191202374400,NA,2,1,0,0,0,0,1,2,2,0
"544",544,20191202376700,0,4,3,2,0,0,4,0,2,2,0
"545",545,20191202376800,0,2,1,0,2,0,0,0,0,2,1
"546",546,20191202378700,NA,6,3,4,0,0,0,1,2,2,0
"547",547,20191202379700,0,2,1,0,2,0,0,0,1,2,1
"548",548,20191202380100,0,2,1,0,2,0,0,0,1,2,0
"549",549,20191202380700,0,1,0,0,1,0,0,0,0,0,1
"550",550,20191202381300,0,6,3,2,0,0,0,3,2,2,0
"551",551,20191202381500,0,2,1,0,0,0,0,2,2,2,0
"552",552,20191202382300,4,6,4,5,0,0,0,0,1,0,0
"553",553,20191202382800,NA,4,2,2,0,0,0,1,2,2,0
"554",554,20191202384000,0,2,1,0,1,0,0,0,1,2,0
"555",555,20191202385300,NA,2,1,0,0,0,0,0,0,0,1
"556",556,20191202387200,NA,2,1,0,0,0,0,0,1,2,0
"557",557,20191202391700,NA,1,1,0,1,0,0,0,0,0,0
"558",558,20191202392200,NA,2,1,0,2,0,0,0,0,2,1
"559",559,20191202393000,NA,2,1,0,0,0,0,2,2,2,0
"560",560,20191202393900,NA,1,0,0,0,0,0,1,1,0,1
"561",561,20191202394400,4,1,0,0,0,0,0,0,1,0,0
"562",562,20191202395100,0,3,2,1,0,0,0,2,1,2,0
"563",563,20191202397900,NA,1,0,0,1,0,0,0,0,0,0
"564",564,20191202399300,1,1,0,0,0,0,0,0,0,0,1
"565",565,20191202399700,NA,1,1,0,0,0,0,0,2,0,0
"566",566,20191202400900,0,1,1,0,0,0,0,1,1,0,0
"567",567,20191202401200,0,1,2,0,0,0,0,2,2,0,0
"568",568,20191202401600,0,1,0,0,1,0,0,1,0,0,0
"569",569,20191202402300,NA,1,1,0,0,0,0,1,1,0,0
"570",570,20191202402400,0,1,0,0,0,0,0,1,0,0,0
"571",571,20191202403000,0,4,3,2,0,0,0,2,1,2,0
"572",572,20191202404700,NA,4,2,2,0,0,0,2,2,2,0
"573",573,20191202405300,4,1,0,0,0,0,0,0,1,0,0
"574",574,20191202406500,5,3,1,0,2,0,0,2,1,2,1
"575",575,20191202407600,NA,2,1,0,0,0,0,0,2,2,0
"576",576,20191202408400,0,1,2,0,0,1,0,0,2,0,0
"577",577,20191202409000,0,1,1,0,0,1,0,1,1,0,1
"578",578,20191202411400,3,1,1,0,0,0,0,1,1,0,0
"579",579,20191202412900,0,1.5,0,0,0,0,0,1,2,0,0
"580",580,20191202413200,NA,1,0,0,0,0,0,0,1,0,0
"581",581,20191202413800,3,1,1,0,1,0,0,1,0,0,1
"582",582,20191202415700,0,4,2,2,0,0,0,2,2,2,0
"583",583,20191202416000,0,1,0,0,0,0,0,0,1,0,0
"584",584,20191202416700,0,1,0,0,0,1,0,0,1,0,0
"585",585,20191202416900,0,2,1,0,0,0,0,0,0,1,0
"586",586,20191202418300,0,2,1,0,0,0,0,2,2,2,0
"587",587,20191202418500,NA,2,1,0,2,0,0,0,0,2,1
"588",588,20191202419300,0,2,1,0,0,0,0,2,1,2,0
