"","GEOID","population","female","avg_hhsize","hispanic","black","kids","elderly","education","employed","married","disability","households"
"Block Group 3, Census Tract 9503, Appanoose County, Iowa","19007950300",1079,657,1.99,0,30,229,280,175,381,351,240,542.211055276382
"Block Group 1, Census Tract 9610, Wapello County, Iowa","19179961000",674,336,2.56,0,123,131,105,78,344,292,67,263.28125
"Block Group 1, Census Tract 1905, Cass County, Iowa","19029190500",616,311,1.74,36,0,102,133,52,308,237,95,354.022988505747
"Block Group 1, Census Tract 9502, Buchanan County, Iowa","19019950200",1169,495,2.57,16,0,275,208,157,628,447,164,454.863813229572
"Block Group 3, Census Tract 9503, Buchanan County, Iowa","19019950300",1146,602,2.65,5,0,265,82,216,730,477,119,432.452830188679
"Block Group 1, Census Tract 9505, Buchanan County, Iowa","19019950500",516,247,1.64,30,1,81,69,144,303,186,84,314.634146341463
"Block Group 3, Census Tract 9601, Montgomery County, Iowa","19137960100",635,310,2,9,0,95,136,223,381,392,45,317.5
"Block Group 1, Census Tract 9604, Montgomery County, Iowa","19137960400",479,224,2.53,0,0,112,116,138,253,214,65,189.328063241107
"Block Group 3, Census Tract 801, Fayette County, Iowa","19065080100",1012,544,2.53,25,0,223,267,303,481,491,71,400
"Block Group 1, Census Tract 43, Bremer County, Iowa","19017004300",785,401,2.61,38,0,206,174,194,391,365,84,300.766283524904
"Block Group 1, Census Tract 41, Bremer County, Iowa","19017004100",1890,942,2.55,5,0,556,178,606,1091,829,95,741.176470588235
"Block Group 1, Census Tract 2901, Tama County, Iowa","19171290100",697,313,2.81,15,0,146,99,215,435,226,48,248.042704626335
"Block Group 4, Census Tract 2901, Tama County, Iowa","19171290100",902,477,2.55,0,27,205,207,236,433,475,83,353.725490196078
"Block Group 1, Census Tract 2902, Tama County, Iowa","19171290200",624,306,2.85,0,0,203,96,122,327,341,73,218.947368421053
"Block Group 3, Census Tract 2903, Tama County, Iowa","19171290300",620,288,2.18,3,3,126,122,99,360,280,74,284.403669724771
"Block Group 1, Census Tract 2905, Tama County, Iowa","19171290500",1011,485,2.87,477,0,252,157,104,530,490,69,352.264808362369
"Block Group 1, Census Tract 2906, Tama County, Iowa","19171290600",959,488,3.05,94,15,247,108,210,526,480,62,314.426229508197
"Block Group 2, Census Tract 2904, Tama County, Iowa","19171290400",907,464,2.67,105,13,242,134,108,365,300,77,339.700374531835
"Block Group 1, Census Tract 803, Sac County, Iowa","19161080300",586,275,2.47,0,0,99,84,120,425,363,16,237.246963562753
"Block Group 1, Census Tract 9504, Buchanan County, Iowa","19019950400",1822,984,2.69,44,9,615,345,456,776,697,140,677.323420074349
"Block Group 2, Census Tract 9507, Mahaska County, Iowa","19123950700",652,319,2.41,37,0,170,84,77,320,217,91,270.539419087137
"Block Group 2, Census Tract 9501.02, Cerro Gordo County, Iowa","19033950102",626,339,1.94,58,0,172,91,84,278,216,66,322.680412371134
"Block Group 4, Census Tract 9501.02, Cerro Gordo County, Iowa","19033950102",414,216,1.97,96,6,104,22,85,207,162,56,210.152284263959
"Block Group 2, Census Tract 9514, Cerro Gordo County, Iowa","19033951400",1559,736,2.41,50,38,301,297,636,822,796,110,646.887966804979
"Block Group 4, Census Tract 9516, Cerro Gordo County, Iowa","19033951600",1066,523,1.64,43,0,126,322,250,623,452,103,650
"Block Group 2, Census Tract 807, Fayette County, Iowa","19065080700",688,380,2.36,4,0,107,161,117,422,350,64,291.525423728814
"Block Group 3, Census Tract 802, Fayette County, Iowa","19065080200",549,261,2.34,13,0,99,114,130,279,326,52,234.615384615385
"Block Group 1, Census Tract 802, Fayette County, Iowa","19065080200",1412,605,2.06,61,131,119,312,309,661,402,130,685.436893203884
"Block Group 2, Census Tract 701, Monroe County, Iowa","19135070100",1410,841,2.05,2,1,321,366,265,637,551,195,687.804878048781
"Block Group 2, Census Tract 702, Monroe County, Iowa","19135070200",1097,558,2.83,0,0,309,190,162,495,565,156,387.632508833922
"Block Group 1, Census Tract 4902, O'Brien County, Iowa","19141490200",695,389,2.18,5,0,179,156,163,364,340,87,318.807339449541
"Block Group 3, Census Tract 4902, O'Brien County, Iowa","19141490200",865,447,1.97,5,0,179,239,152,438,359,123,439.086294416244
"Block Group 1, Census Tract 4904, O'Brien County, Iowa","19141490400",810,410,2.19,18,21,183,196,193,427,466,86,369.86301369863
"Block Group 1, Census Tract 4903, O'Brien County, Iowa","19141490300",1882,845,1.94,0,1,335,465,593,956,857,400,970.103092783505
"Block Group 2, Census Tract 110.28, Polk County, Iowa","19153011028",2629,1438,2.43,60,0,686,504,1360,1276,1330,250,1081.89300411523
"Block Group 1, Census Tract 47.02, Polk County, Iowa","19153004702",2552,1229,2.24,379,279,495,293,194,1343,615,318,1139.28571428571
"Block Group 2, Census Tract 102.12, Polk County, Iowa","19153010212",1077,531,2.66,9,0,208,214,412,660,713,43,404.887218045113
"Block Group 3, Census Tract 102.08, Polk County, Iowa","19153010208",2247,1107,2.77,110,124,654,149,698,1264,977,151,811.191335740072
"Block Group 1, Census Tract 102.08, Polk County, Iowa","19153010208",814,425,2.8,25,0,265,97,307,418,372,73,290.714285714286
"Block Group 2, Census Tract 4602, Osceola County, Iowa","19143460200",737,346,2.49,74,6,199,119,206,383,413,57,295.983935742972
"Block Group 4, Census Tract 4602, Osceola County, Iowa","19143460200",692,321,2.24,57,0,140,131,154,349,390,105,308.928571428571
"Block Group 3, Census Tract 4601, Osceola County, Iowa","19143460100",999,565,2.53,99,0,314,219,178,463,473,99,394.861660079051
"Block Group 3, Census Tract 4505, Cedar County, Iowa","19031450500",1352,699,2.6,44,23,375,322,351,640,619,75,520
"Block Group 1, Census Tract 4503, Cedar County, Iowa","19031450300",934,504,2.42,28,55,191,239,254,525,490,78,385.950413223141
"Block Group 2, Census Tract 2704, Hancock County, Iowa","19081270400",505,228,1.74,23,0,53,120,101,299,271,72,290.229885057471
"Block Group 1, Census Tract 2703, Hancock County, Iowa","19081270300",600,251,1.83,2,7,86,117,136,335,284,83,327.868852459016
"Block Group 3, Census Tract 130, Scott County, Iowa","19163013000",1968,1024,2.69,173,84,448,306,873,1117,994,182,731.598513011152
"Block Group 2, Census Tract 107.05, Polk County, Iowa","19153010705",3494,1827,2.88,78,47,1155,435,1056,1736,1546,271,1213.19444444444
"Block Group 1, Census Tract 46.03, Polk County, Iowa","19153004603",1046,528,2.82,107,147,354,82,288,445,265,127,370.921985815603
"Block Group 2, Census Tract 104.08, Polk County, Iowa","19153010408",1155,570,2.73,205,22,270,113,466,701,477,60,423.076923076923
"Block Group 2, Census Tract 108.03, Polk County, Iowa","19153010803",2873,1535,2.87,54,78,738,340,705,1607,1299,197,1001.04529616725
"Block Group 5, Census Tract 47.01, Polk County, Iowa","19153004701",1010,617,2.69,81,9,276,95,129,455,211,147,375.46468401487
"Block Group 1, Census Tract 211, Warren County, Iowa","19181021100",674,340,2.29,95,0,137,158,119,338,381,50,294.323144104803
"Block Group 1, Census Tract 203, Warren County, Iowa","19181020300",1795,910,2.62,96,0,356,252,543,992,921,150,685.114503816794
"Block Group 2, Census Tract 9503, Mahaska County, Iowa","19123950300",641,323,2.38,14,9,118,130,168,329,326,58,269.327731092437
"Block Group 3, Census Tract 9504, Mahaska County, Iowa","19123950400",751,436,2.38,0,65,193,123,297,351,324,73,315.546218487395
"Block Group 1, Census Tract 9506, Mahaska County, Iowa","19123950600",896,446,2.33,39,18,273,100,62,522,265,143,384.549356223176
"Block Group 3, Census Tract 9501, Mahaska County, Iowa","19123950100",915,432,2.56,0,21,202,206,114,423,542,55,357.421875
"Block Group 3, Census Tract 9502, Mahaska County, Iowa","19123950200",919,475,2.31,0,0,110,171,210,606,442,81,397.835497835498
"Block Group 2, Census Tract 9505, Mahaska County, Iowa","19123950500",1771,885,2.11,10,0,388,349,439,927,552,294,839.336492890995
"Block Group 3, Census Tract 9703, Plymouth County, Iowa","19149970300",683,279,2.59,0,0,181,147,227,351,376,64,263.706563706564
"Block Group 1, Census Tract 2.06, Linn County, Iowa","19113000206",3430,1817,2.51,75,35,810,563,1623,1957,2007,193,1366.53386454183
"Block Group 2, Census Tract 11.02, Linn County, Iowa","19113001102",1797,1069,2.36,75,268,416,226,519,1011,707,138,761.440677966102
"Block Group 2, Census Tract 11.01, Linn County, Iowa","19113001101",1252,717,2.19,66,53,279,370,250,594,437,195,571.689497716895
"Block Group 2, Census Tract 801, Keokuk County, Iowa","19107080100",713,345,3.03,13,1,248,73,200,361,324,18,235.313531353135
"Block Group 1, Census Tract 803, Keokuk County, Iowa","19107080300",581,285,2.54,2,0,178,102,97,188,217,106,228.740157480315
"Block Group 4, Census Tract 7.04, Polk County, Iowa","19153000704",654,333,2.58,119,10,113,134,191,338,304,67,253.488372093023
"Block Group 4, Census Tract 8.01, Polk County, Iowa","19153000801",619,294,1.82,8,49,49,196,220,355,353,108,340.10989010989
"Block Group 4, Census Tract 8.03, Polk County, Iowa","19153000803",1619,868,2.25,48,115,345,189,378,897,495,114,719.555555555556
"Block Group 3, Census Tract 9.01, Polk County, Iowa","19153000901",867,470,1.78,25,16,145,100,387,597,224,66,487.078651685393
"Block Group 1, Census Tract 9.01, Polk County, Iowa","19153000901",905,405,2.13,44,34,201,71,187,572,308,85,424.882629107981
"Block Group 3, Census Tract 125.01, Scott County, Iowa","19163012501",571,318,2.07,8,0,150,88,102,197,225,91,275.845410628019
"Block Group 3, Census Tract 129.01, Scott County, Iowa","19163012901",1920,1090,2.46,51,202,507,229,785,1050,1022,63,780.487804878049
"Block Group 2, Census Tract 705, Crawford County, Iowa","19047070500",971,482,2.36,34,5,202,183,217,533,483,94,411.440677966102
"Block Group 2, Census Tract 701, Crawford County, Iowa","19047070100",1063,491,2.28,196,5,246,230,173,516,530,107,466.228070175439
"Block Group 3, Census Tract 4502, Cedar County, Iowa","19031450200",803,430,2.7,18,0,174,122,182,412,446,75,297.407407407407
"Block Group 2, Census Tract 4505, Cedar County, Iowa","19031450500",707,339,2.33,10,0,71,192,236,513,418,71,303.43347639485
"Block Group 1, Census Tract 801, Davis County, Iowa","19051080100",1091,509,2.45,6,0,263,285,289,634,666,110,445.30612244898
"Block Group 3, Census Tract 802, Davis County, Iowa","19051080200",603,292,1.88,25,0,132,151,129,288,182,58,320.744680851064
"Block Group 1, Census Tract 9603, Clarke County, Iowa","19039960300",1063,523,2.42,56,6,278,206,185,510,529,117,439.256198347107
"Block Group 2, Census Tract 9601, Clarke County, Iowa","19039960100",1857,1105,2.11,655,0,486,370,264,1041,638,193,880.094786729858
"Block Group 4, Census Tract 9601, Clarke County, Iowa","19039960100",1156,545,2.2,346,0,233,156,291,565,607,201,525.454545454545
"Block Group 1, Census Tract 9503, Calhoun County, Iowa","19025950300",548,281,2.05,2,25,129,119,90,281,194,60,267.317073170732
"Block Group 3, Census Tract 7.03, Polk County, Iowa","19153000703",1133,664,1.96,2,62,216,222,452,646,454,75,578.061224489796
"Block Group 2, Census Tract 9603, Montgomery County, Iowa","19137960300",1351,680,2.6,160,0,405,128,231,673,593,125,519.615384615385
"Block Group 3, Census Tract 9602, Montgomery County, Iowa","19137960200",603,304,2.62,35,0,195,72,104,311,245,29,230.152671755725
