"","GEOID","population","female","avg_hhsize","hispanic","black","kids","elderly","education","employed","married","disability","households"
"Block Group 1, Census Tract 9506, Cerro Gordo County, Iowa","19033950600",471,234,2.42,11,0,82,86,159,281,273,40,194.628099173554
"Block Group 1, Census Tract 901, Jefferson County, Iowa","19101090100",1079,591,2.46,0,0,286,148,255,451,624,63,438.617886178862
"Block Group 2, Census Tract 901, Jefferson County, Iowa","19101090100",1185,590,2.47,13,0,198,242,284,573,608,109,479.757085020243
"Block Group 3, Census Tract 902, Jefferson County, Iowa","19101090200",2150,1054,2.77,53,80,413,399,639,1158,778,144,776.173285198556
"Block Group 1, Census Tract 902, Jefferson County, Iowa","19101090200",1189,495,2.46,4,0,173,417,184,654,579,166,483.333333333333
"Block Group 3, Census Tract 904, Jefferson County, Iowa","19101090400",1441,791,2.1,7,0,189,375,757,775,430,177,686.190476190476
"Block Group 2, Census Tract 904, Jefferson County, Iowa","19101090400",1857,830,2.52,30,89,174,418,827,552,541,70,736.904761904762
"Block Group 1, Census Tract 903, Jefferson County, Iowa","19101090300",1970,1020,4.15,32,982,222,319,305,1179,162,287,474.698795180723
"Block Group 2, Census Tract 903, Jefferson County, Iowa","19101090300",995,496,2.57,0,0,228,159,329,490,339,53,387.15953307393
"Block Group 3, Census Tract 4511, Dickinson County, Iowa","19059451100",585,310,1.82,0,0,47,315,273,228,372,91,321.428571428571
"Block Group 2, Census Tract 4511, Dickinson County, Iowa","19059451100",914,494,1.85,3,2,68,355,399,482,493,93,494.054054054054
"Block Group 2, Census Tract 4505, Dickinson County, Iowa","19059450500",2678,1326,2.2,102,1,590,631,1060,1597,1383,400,1217.27272727273
"Block Group 1, Census Tract 4505, Dickinson County, Iowa","19059450500",960,645,1.63,0,0,172,300,305,534,368,172,588.957055214724
"Block Group 3, Census Tract 4505, Dickinson County, Iowa","19059450500",756,434,2.09,0,0,118,143,308,423,293,95,361.722488038278
"Block Group 2, Census Tract 4508, Dickinson County, Iowa","19059450800",1127,655,2.12,83,0,291,200,300,597,532,163,531.603773584906
"Block Group 3, Census Tract 4508, Dickinson County, Iowa","19059450800",1096,519,2.29,15,7,260,155,340,607,594,140,478.602620087336
"Block Group 2, Census Tract 4502, Dickinson County, Iowa","19059450200",1235,640,2.12,23,0,268,316,322,653,565,141,582.547169811321
"Block Group 2, Census Tract 4510, Dickinson County, Iowa","19059451000",1313,603,2.11,20,0,227,414,505,660,637,148,622.274881516588
"Block Group 2, Census Tract 701, Chickasaw County, Iowa","19037070100",605,299,2.85,0,14,173,156,63,222,363,82,212.280701754386
"Block Group 3, Census Tract 701, Chickasaw County, Iowa","19037070100",1089,529,2.84,13,10,335,172,155,588,460,78,383.450704225352
"Block Group 1, Census Tract 701, Chickasaw County, Iowa","19037070100",759,322,2.36,81,0,165,124,123,470,324,74,321.610169491525
"Block Group 3, Census Tract 704, Chickasaw County, Iowa","19037070400",768,389,2.31,36,2,164,116,160,501,348,63,332.467532467532
"Block Group 2, Census Tract 704, Chickasaw County, Iowa","19037070400",979,446,1.91,123,56,227,129,242,602,374,98,512.565445026178
"Block Group 1, Census Tract 127.01, Scott County, Iowa","19163012701",1929,981,2.83,153,316,424,239,449,1144,667,104,681.625441696113
"Block Group 2, Census Tract 127.01, Scott County, Iowa","19163012701",1362,706,2.56,27,72,319,260,418,678,657,117,532.03125
"Block Group 3, Census Tract 506, Dallas County, Iowa","19049050600",738,332,2.56,25,5,194,102,177,376,346,65,288.28125
"Block Group 1, Census Tract 506, Dallas County, Iowa","19049050600",1210,566,2.49,13,6,272,165,555,654,736,91,485.943775100402
"Block Group 2, Census Tract 506, Dallas County, Iowa","19049050600",763,370,2.49,0,0,190,166,90,382,339,79,306.425702811245
"Block Group 1, Census Tract 502, Dallas County, Iowa","19049050200",1506,747,2.95,58,12,499,222,366,753,705,109,510.508474576271
"Block Group 3, Census Tract 502, Dallas County, Iowa","19049050200",1269,636,2.38,26,12,288,245,466,662,681,82,533.193277310924
"Block Group 2, Census Tract 502, Dallas County, Iowa","19049050200",827,398,2.66,13,1,165,159,170,447,409,111,310.902255639098
"Block Group 2, Census Tract 101, Johnson County, Iowa","19103010100",2629,1411,2.91,104,12,923,385,785,1294,1121,231,903.436426116838
"Block Group 4, Census Tract 101, Johnson County, Iowa","19103010100",1465,761,2.41,0,0,212,375,711,879,915,124,607.883817427386
"Block Group 1, Census Tract 104, Johnson County, Iowa","19103010400",1456,750,4.01,0,0,534,176,201,601,634,75,363.092269326683
"Block Group 4, Census Tract 104, Johnson County, Iowa","19103010400",2033,1096,2.15,445,211,502,254,441,1045,757,263,945.581395348837
"Block Group 3, Census Tract 104, Johnson County, Iowa","19103010400",849,451,2.58,0,0,259,180,294,387,454,33,329.06976744186
"Block Group 2, Census Tract 104, Johnson County, Iowa","19103010400",1181,582,3.12,0,0,249,271,159,598,569,84,378.525641025641
"Block Group 2, Census Tract 2, Johnson County, Iowa","19103000200",921,443,2.26,10,34,162,150,390,581,371,83,407.522123893805
"Block Group 1, Census Tract 12, Johnson County, Iowa","19103001200",1150,592,2.34,105,4,300,168,686,589,573,68,491.452991452991
"Block Group 1, Census Tract 13, Johnson County, Iowa","19103001300",2113,1032,2.62,54,201,611,447,995,1086,1062,146,806.488549618321
"Block Group 2, Census Tract 13, Johnson County, Iowa","19103001300",1070,601,2.03,0,0,103,274,654,645,532,115,527.093596059113
"Block Group 1, Census Tract 11, Johnson County, Iowa","19103001100",1915,709,2.23,162,161,163,131,604,1205,379,154,858.744394618834
"Block Group 2, Census Tract 505, Dallas County, Iowa","19049050500",798,391,2.51,1,0,128,159,316,462,538,99,317.92828685259
"Block Group 2, Census Tract 503, Dallas County, Iowa","19049050300",1481,722,2.69,549,0,416,289,203,681,625,162,550.557620817844
"Block Group 4, Census Tract 503, Dallas County, Iowa","19049050300",696,377,2.24,138,0,170,158,193,281,289,91,310.714285714286
"Block Group 1, Census Tract 503, Dallas County, Iowa","19049050300",831,341,2.39,91,74,187,184,116,310,327,126,347.698744769874
"Block Group 2, Census Tract 504, Dallas County, Iowa","19049050400",540,209,1.71,20,3,76,104,53,301,318,84,315.789473684211
"Block Group 3, Census Tract 504, Dallas County, Iowa","19049050400",1006,479,2.56,401,96,218,155,71,449,357,112,392.96875
"Block Group 3, Census Tract 507, Dallas County, Iowa","19049050700",2193,1119,2.41,14,11,649,419,783,1067,1002,183,909.958506224066
"Block Group 1, Census Tract 507, Dallas County, Iowa","19049050700",1313,621,2.23,16,0,325,187,447,758,605,93,588.789237668161
"Block Group 1, Census Tract 501, Dallas County, Iowa","19049050100",557,287,2.44,0,3,111,71,100,339,240,57,228.27868852459
"Block Group 3, Census Tract 501, Dallas County, Iowa","19049050100",1916,969,2.55,55,33,494,302,741,1062,1020,165,751.372549019608
"Block Group 3, Census Tract 508, Muscatine County, Iowa","19139050800",882,503,2.31,373,12,199,109,95,424,231,119,381.818181818182
"Block Group 2, Census Tract 508, Muscatine County, Iowa","19139050800",983,486,2.72,49,0,282,114,206,540,394,75,361.397058823529
"Block Group 4, Census Tract 503, Muscatine County, Iowa","19139050300",726,408,2.38,97,8,129,100,139,425,374,61,305.042016806723
"Block Group 3, Census Tract 503, Muscatine County, Iowa","19139050300",1214,571,3.41,806,26,386,60,118,569,651,54,356.011730205279
"Block Group 1, Census Tract 503, Muscatine County, Iowa","19139050300",720,340,2.64,96,0,158,134,189,426,336,18,272.727272727273
"Block Group 1, Census Tract 2.05, Linn County, Iowa","19113000205",4703,2329,2.75,67,28,1242,663,2161,2444,2625,223,1710.18181818182
"Block Group 3, Census Tract 1, Linn County, Iowa","19113000100",860,327,2.17,0,0,151,118,388,528,561,75,396.3133640553
"Block Group 1, Census Tract 1, Linn County, Iowa","19113000100",4361,2231,2.32,48,0,1178,666,1656,2378,1771,396,1879.74137931034
"Block Group 2, Census Tract 1, Linn County, Iowa","19113000100",1691,837,2.28,155,0,492,170,424,814,508,80,741.666666666667
"Block Group 2, Census Tract 6, Linn County, Iowa","19113000600",1202,649,2.25,0,0,216,229,418,740,660,146,534.222222222222
"Block Group 1, Census Tract 6, Linn County, Iowa","19113000600",1837,1131,1.84,56,174,295,460,718,1038,568,213,998.369565217391
"Block Group 2, Census Tract 15, Linn County, Iowa","19113001500",1796,1018,2.08,0,51,248,723,944,733,1002,244,863.461538461538
"Block Group 1, Census Tract 15, Linn County, Iowa","19113001500",997,503,1.97,122,51,204,156,374,521,400,81,506.091370558376
"Block Group 5, Census Tract 17, Linn County, Iowa","19113001700",1117,565,2.9,240,391,303,160,192,440,359,130,385.172413793103
"Block Group 4, Census Tract 17, Linn County, Iowa","19113001700",1111,507,2.7,0,41,311,147,489,586,552,35,411.481481481481
"Block Group 1, Census Tract 17, Linn County, Iowa","19113001700",987,552,2.46,45,41,228,215,423,499,445,63,401.219512195122
"Block Group 2, Census Tract 17, Linn County, Iowa","19113001700",970,492,2.37,25,0,228,224,388,435,471,49,409.282700421941
"Block Group 3, Census Tract 17, Linn County, Iowa","19113001700",838,436,4.23,18,361,339,0,236,334,276,24,198.108747044917
"Block Group 6, Census Tract 17, Linn County, Iowa","19113001700",1205,622,2.35,94,244,327,160,178,659,310,129,512.765957446808
"Block Group 1, Census Tract 7.01, Dubuque County, Iowa","19061000701",2149,964,3.2,46,298,272,85,156,931,323,59,671.5625
"Block Group 2, Census Tract 7.01, Dubuque County, Iowa","19061000701",703,446,2.66,162,74,145,39,157,287,190,102,264.285714285714
"Block Group 2, Census Tract 101.01, Dubuque County, Iowa","19061010101",935,470,1.98,2,0,143,201,178,503,374,156,472.222222222222
"Block Group 3, Census Tract 6, Dubuque County, Iowa","19061000600",1183,572,2.61,52,52,250,157,372,625,434,75,453.256704980843
"Block Group 2, Census Tract 6, Dubuque County, Iowa","19061000600",1034,435,3.07,143,363,420,31,158,396,116,57,336.807817589577
"Block Group 1, Census Tract 12.02, Dubuque County, Iowa","19061001202",1024,529,2.12,32,54,171,210,283,615,375,177,483.018867924528
"Block Group 1, Census Tract 4, Dubuque County, Iowa","19061000400",986,575,2.33,18,0,194,106,60,698,464,71,423.175965665236
"Block Group 3, Census Tract 8.02, Dubuque County, Iowa","19061000802",1349,784,2.25,130,0,341,439,450,575,586,189,599.555555555556
"Block Group 2, Census Tract 8.02, Dubuque County, Iowa","19061000802",1206,566,2.42,5,10,240,314,397,644,683,86,498.347107438017
"Block Group 2, Census Tract 9506, Buchanan County, Iowa","19019950600",1090,495,2.9,0,5,313,191,290,586,591,79,375.862068965517
"Block Group 1, Census Tract 806, Fayette County, Iowa","19065080600",713,342,2.56,0,0,162,154,165,386,401,50,278.515625
"Block Group 3, Census Tract 806, Fayette County, Iowa","19065080600",700,312,2.33,0,10,175,169,144,308,320,87,300.429184549356
"Block Group 2, Census Tract 803, Fayette County, Iowa","19065080300",1494,723,2.61,3,0,323,254,289,749,808,166,572.413793103448
"Block Group 1, Census Tract 803, Fayette County, Iowa","19065080300",953,448,2.4,4,0,214,160,216,505,451,109,397.083333333333
"Block Group 2, Census Tract 804, Fayette County, Iowa","19065080400",1057,586,2.28,0,123,261,184,74,473,380,147,463.59649122807
"Block Group 1, Census Tract 1902, Cass County, Iowa","19029190200",704,345,2.21,34,0,164,199,155,325,368,92,318.552036199095
"Block Group 3, Census Tract 1902, Cass County, Iowa","19029190200",808,404,2.35,19,0,229,166,138,414,353,77,343.829787234043
"Block Group 1, Census Tract 1903, Cass County, Iowa","19029190300",792,385,2.36,3,0,187,131,115,413,331,89,335.593220338983
"Block Group 2, Census Tract 1903, Cass County, Iowa","19029190300",712,360,2.37,13,0,182,162,169,332,350,81,300.42194092827
"Block Group 3, Census Tract 1901, Cass County, Iowa","19029190100",1055,606,2.11,18,0,228,228,175,518,484,127,500
"Block Group 2, Census Tract 1901, Cass County, Iowa","19029190100",648,323,2.44,0,0,118,263,126,306,339,71,265.573770491803
"Block Group 1, Census Tract 1901, Cass County, Iowa","19029190100",709,335,2.36,0,0,147,105,228,403,517,42,300.423728813559
"Block Group 4, Census Tract 1904, Cass County, Iowa","19029190400",818,449,2.18,0,0,187,201,379,395,442,78,375.229357798165
"Block Group 2, Census Tract 1904, Cass County, Iowa","19029190400",1210,722,2.14,40,0,274,323,324,463,497,114,565.420560747664
"Block Group 3, Census Tract 1904, Cass County, Iowa","19029190400",1305,646,1.82,168,6,186,338,251,749,525,204,717.032967032967
"Block Group 1, Census Tract 504, Muscatine County, Iowa","19139050400",1952,1024,2.63,424,7,473,476,316,849,808,161,742.205323193916
"Block Group 2, Census Tract 510, Muscatine County, Iowa","19139051000",1679,903,2.65,308,112,520,240,169,673,551,207,633.584905660377
"Block Group 1, Census Tract 510, Muscatine County, Iowa","19139051000",1721,886,2.86,650,10,538,195,176,799,572,119,601.748251748252
"Block Group 1, Census Tract 27, Black Hawk County, Iowa","19013002700",558,304,2.86,0,0,152,68,184,298,325,17,195.104895104895
"Block Group 2, Census Tract 27, Black Hawk County, Iowa","19013002700",907,440,2.55,0,0,239,137,134,405,427,133,355.686274509804
"Block Group 4, Census Tract 27, Black Hawk County, Iowa","19013002700",1312,635,2.42,0,0,218,338,308,650,624,158,542.148760330579
"Block Group 1, Census Tract 13.02, Black Hawk County, Iowa","19013001302",1419,769,2.28,33,297,383,239,500,715,504,165,622.368421052632
"Block Group 2, Census Tract 13.02, Black Hawk County, Iowa","19013001302",2262,1176,2.35,0,247,541,411,879,1311,1066,227,962.553191489362
"Block Group 3, Census Tract 801, Greene County, Iowa","19073080100",783,407,2.34,0,0,197,120,75,362,294,163,334.615384615385
"Block Group 2, Census Tract 801, Greene County, Iowa","19073080100",578,242,2.35,8,0,126,75,148,353,260,62,245.957446808511
"Block Group 2, Census Tract 4502, Louisa County, Iowa","19115450200",635,273,2.36,10,0,119,128,181,353,327,71,269.06779661017
"Block Group 1, Census Tract 4502, Louisa County, Iowa","19115450200",622,328,2.56,4,0,153,66,179,355,382,12,242.96875
"Block Group 4, Census Tract 4502, Louisa County, Iowa","19115450200",1574,754,2.63,538,14,348,423,342,642,711,155,598.479087452472
"Block Group 3, Census Tract 4502, Louisa County, Iowa","19115450200",1144,546,2.7,523,34,331,86,72,578,433,69,423.703703703704
"Block Group 1, Census Tract 4503, Louisa County, Iowa","19115450300",1095,514,2.74,0,0,208,197,233,613,655,113,399.63503649635
"Block Group 3, Census Tract 4503, Louisa County, Iowa","19115450300",291,150,2.45,2,4,79,24,33,139,108,28,118.775510204082
"Block Group 2, Census Tract 4503, Louisa County, Iowa","19115450300",737,391,2.51,8,6,155,161,154,334,348,83,293.625498007968
"Block Group 4, Census Tract 4503, Louisa County, Iowa","19115450300",1420,737,2.64,234,15,354,270,285,746,595,102,537.878787878788
"Block Group 5, Census Tract 4503, Louisa County, Iowa","19115450300",645,269,2.42,30,5,151,85,77,355,249,91,266.528925619835
"Block Group 1, Census Tract 4501, Louisa County, Iowa","19115450100",1350,691,2.41,33,13,309,294,242,741,672,141,560.165975103734
"Block Group 2, Census Tract 4501, Louisa County, Iowa","19115450100",697,344,2.52,237,35,153,102,122,367,279,33,276.587301587302
"Block Group 3, Census Tract 4501, Louisa County, Iowa","19115450100",968,453,2.43,145,0,168,213,143,401,363,148,398.353909465021
"Block Group 3, Census Tract 2, Johnson County, Iowa","19103000200",1367,555,2.31,240,275,290,49,442,714,505,61,591.774891774892
"Block Group 4, Census Tract 5, Johnson County, Iowa","19103000500",2628,1457,1.95,205,199,331,413,1251,1416,1215,230,1347.69230769231
"Block Group 1, Census Tract 801, Cherokee County, Iowa","19035080100",838,420,2.43,0,0,316,132,59,431,184,94,344.855967078189
"Block Group 3, Census Tract 6802, Winnebago County, Iowa","19189680200",985,463,2.23,49,0,268,229,268,475,418,61,441.704035874439
"Block Group 1, Census Tract 6802, Winnebago County, Iowa","19189680200",545,252,2.04,6,0,97,145,206,312,300,57,267.156862745098
"Block Group 2, Census Tract 6802, Winnebago County, Iowa","19189680200",445,250,2.42,0,0,76,101,45,272,200,48,183.884297520661
"Block Group 3, Census Tract 126.01, Scott County, Iowa","19163012601",1716,969,2.48,0,172,219,274,489,812,855,176,691.935483870968
"Block Group 2, Census Tract 702, Emmet County, Iowa","19063070200",941,526,1.99,40,44,197,222,233,491,456,108,472.86432160804
"Block Group 3, Census Tract 703, Emmet County, Iowa","19063070300",1125,554,2.06,42,19,219,256,271,544,533,233,546.116504854369
"Block Group 2, Census Tract 703, Emmet County, Iowa","19063070300",755,398,1.97,7,23,108,308,173,343,437,97,383.248730964467
"Block Group 1, Census Tract 704, Emmet County, Iowa","19063070400",629,298,2.51,276,0,111,93,108,307,348,104,250.597609561753
"Block Group 3, Census Tract 704, Emmet County, Iowa","19063070400",635,272,2.4,83,4,199,129,151,264,291,37,264.583333333333
"Block Group 2, Census Tract 117.02, Polk County, Iowa","19153011702",1826,1011,1.83,8,25,236,717,851,790,786,256,997.814207650273
"Block Group 1, Census Tract 117.02, Polk County, Iowa","19153011702",2072,1016,2.53,21,21,597,303,605,1073,879,197,818.97233201581
"Block Group 1, Census Tract 117.01, Polk County, Iowa","19153011701",6039,3337,2.73,166,121,1873,559,3002,3571,3048,281,2212.08791208791
"Block Group 2, Census Tract 104.06, Polk County, Iowa","19153010406",2438,1246,2.2,79,86,520,412,848,1436,1024,176,1108.18181818182
"Block Group 2, Census Tract 112.03, Polk County, Iowa","19153011203",1528,740,3.11,38,0,444,236,784,697,875,60,491.318327974277
"Block Group 3, Census Tract 1, Dubuque County, Iowa","19061000100",1123,537,2.08,9,519,299,37,201,544,169,123,539.903846153846
"Block Group 1, Census Tract 108, Linn County, Iowa","19113010800",1689,818,2.28,13,6,482,185,666,911,646,74,740.789473684211
"Block Group 4, Census Tract 108, Linn County, Iowa","19113010800",578,319,2.14,0,0,154,84,316,269,268,58,270.093457943925
"Block Group 3, Census Tract 13, Linn County, Iowa","19113001300",853,325,2.24,0,73,125,86,129,586,253,62,380.803571428571
"Block Group 1, Census Tract 13, Linn County, Iowa","19113001300",1189,647,2.08,0,286,130,117,286,773,382,98,571.634615384615
"Block Group 2, Census Tract 103, Linn County, Iowa","19113010300",1128,598,2.63,0,0,264,249,239,593,605,78,428.897338403042
"Block Group 1, Census Tract 103, Linn County, Iowa","19113010300",1347,664,2.87,11,0,388,245,289,683,682,102,469.337979094077
"Block Group 1, Census Tract 105, Linn County, Iowa","19113010500",2188,1190,2.43,6,0,527,446,661,1060,983,257,900.411522633745
"Block Group 2, Census Tract 9501, Van Buren County, Iowa","19177950100",957,467,2.59,44,7,270,172,193,438,417,111,369.49806949807
"Block Group 5, Census Tract 9501, Van Buren County, Iowa","19177950100",757,356,2.67,4,2,218,95,88,351,342,82,283.520599250936
"Block Group 1, Census Tract 9501, Van Buren County, Iowa","19177950100",663,299,2.45,10,0,153,124,123,324,306,66,270.612244897959
"Block Group 4, Census Tract 9501, Van Buren County, Iowa","19177950100",1084,555,1.97,36,6,147,362,273,500,587,135,550.253807106599
"Block Group 1, Census Tract 2.03, Linn County, Iowa","19113000203",4082,1963,2.85,97,110,1188,408,1591,2060,1843,300,1432.28070175439
"Block Group 3, Census Tract 105, Dubuque County, Iowa","19061010500",1234,586,2.38,53,0,311,199,214,656,519,75,518.487394957983
"Block Group 2, Census Tract 105, Dubuque County, Iowa","19061010500",737,358,2.03,16,72,118,124,175,494,311,38,363.054187192118
"Block Group 1, Census Tract 105, Dubuque County, Iowa","19061010500",1301,567,2.41,0,25,392,183,313,740,579,82,539.834024896266
"Block Group 3, Census Tract 24, Linn County, Iowa","19113002400",1695,866,2.03,91,162,452,282,410,830,571,156,834.975369458128
"Block Group 2, Census Tract 24, Linn County, Iowa","19113002400",1229,656,2.42,71,241,397,130,267,687,342,69,507.851239669421
"Block Group 1, Census Tract 30.01, Linn County, Iowa","19113003001",1915,1170,2.8,28,55,602,345,506,1067,905,183,683.928571428571
"Block Group 2, Census Tract 30.01, Linn County, Iowa","19113003001",3296,1739,2.32,0,132,653,777,991,1658,1661,348,1420.68965517241
"Block Group 4, Census Tract 19, Polk County, Iowa","19153001900",856,433,2.4,92,38,177,126,176,474,354,88,356.666666666667
"Block Group 5, Census Tract 19, Polk County, Iowa","19153001900",677,339,2.39,9,233,168,88,136,302,198,53,283.26359832636
"Block Group 3, Census Tract 19, Polk County, Iowa","19153001900",946,434,2.65,120,25,314,58,134,422,339,141,356.981132075472
"Block Group 1, Census Tract 19, Polk County, Iowa","19153001900",503,258,1.92,76,0,61,80,114,319,253,61,261.979166666667
"Block Group 2, Census Tract 19, Polk County, Iowa","19153001900",1187,525,2.99,235,222,441,107,113,479,199,98,396.989966555184
"Block Group 2, Census Tract 21, Polk County, Iowa","19153002100",838,417,2.19,69,0,70,151,137,376,279,189,382.648401826484
"Block Group 1, Census Tract 9601, Wapello County, Iowa","19179960100",588,296,2.68,0,0,142,120,157,323,270,60,219.402985074627
"Block Group 2, Census Tract 9601, Wapello County, Iowa","19179960100",568,295,2.22,5,1,107,156,195,258,345,43,255.855855855856
"Block Group 3, Census Tract 9601, Wapello County, Iowa","19179960100",756,340,2.86,1,1,170,98,176,354,434,56,264.335664335664
"Block Group 4, Census Tract 9601, Wapello County, Iowa","19179960100",929,479,2.55,10,0,235,172,156,449,373,117,364.313725490196
"Block Group 3, Census Tract 9609, Wapello County, Iowa","19179960900",531,265,2.23,104,29,139,53,61,240,204,43,238.116591928251
"Block Group 1, Census Tract 9602, Wapello County, Iowa","19179960200",483,281,2.29,11,0,115,82,141,220,254,143,210.917030567686
"Block Group 3, Census Tract 9602, Wapello County, Iowa","19179960200",498,192,2.29,58,0,153,23,133,269,214,31,217.467248908297
"Block Group 3, Census Tract 9605, Wapello County, Iowa","19179960500",709,383,2.62,354,0,115,73,90,332,265,71,270.610687022901
"Block Group 1, Census Tract 302, Pottawattamie County, Iowa","19155030200",1048,535,2.92,18,105,323,119,286,478,473,98,358.904109589041
"Block Group 2, Census Tract 302, Pottawattamie County, Iowa","19155030200",472,197,1.82,0,0,73,31,161,190,180,115,259.340659340659
"Block Group 3, Census Tract 306.01, Pottawattamie County, Iowa","19155030601",667,323,2.37,122,2,134,145,68,326,269,92,281.434599156118
"Block Group 1, Census Tract 306.01, Pottawattamie County, Iowa","19155030601",813,401,2.24,54,0,192,101,81,390,281,101,362.946428571429
"Block Group 1, Census Tract 216.02, Pottawattamie County, Iowa","19155021602",1550,777,2.78,0,0,443,270,456,838,836,98,557.553956834532
"Block Group 1, Census Tract 4901, O'Brien County, Iowa","19141490100",493,300,2.71,17,0,167,57,97,239,303,23,181.918819188192
"Block Group 3, Census Tract 4901, O'Brien County, Iowa","19141490100",855,482,2.14,68,6,202,206,158,397,424,151,399.532710280374
"Block Group 1, Census Tract 9508, Cerro Gordo County, Iowa","19033950800",1173,601,2.29,27,0,211,303,445,634,654,117,512.227074235808
"Block Group 2, Census Tract 36, Woodbury County, Iowa","19193003600",870,240,1.81,92,215,107,99,53,157,152,112,480.662983425414
"Block Group 1, Census Tract 36, Woodbury County, Iowa","19193003600",666,314,3.04,366,29,164,61,109,413,153,39,219.078947368421
"Block Group 5, Census Tract 36, Woodbury County, Iowa","19193003600",146,77,3.04,41,0,64,31,19,59,45,13,48.0263157894737
"Block Group 4, Census Tract 36, Woodbury County, Iowa","19193003600",939,461,1.7,250,198,180,70,122,350,168,203,552.352941176471
"Block Group 3, Census Tract 36, Woodbury County, Iowa","19193003600",492,326,2,15,0,119,56,137,186,132,44,246
"Block Group 1, Census Tract 9505, Kossuth County, Iowa","19109950500",1283,712,2,62,0,229,453,296,542,669,263,641.5
"Block Group 3, Census Tract 9505, Kossuth County, Iowa","19109950500",662,327,1.8,9,0,67,240,233,322,377,105,367.777777777778
"Block Group 2, Census Tract 9505, Kossuth County, Iowa","19109950500",1227,658,2.21,38,24,344,240,324,600,419,164,555.203619909502
"Block Group 1, Census Tract 9506, Kossuth County, Iowa","19109950600",1151,607,2.77,7,0,351,159,343,604,638,58,415.523465703971
"Block Group 3, Census Tract 9502, Kossuth County, Iowa","19109950200",779,344,2.16,0,0,125,206,171,400,386,133,360.648148148148
"Block Group 3, Census Tract 702, Butler County, Iowa","19023070200",681,357,2.29,14,0,150,182,75,270,291,68,297.379912663755
"Block Group 3, Census Tract 701, Audubon County, Iowa","19009070100",689,329,2.03,0,0,112,208,178,361,404,86,339.408866995074
"Block Group 2, Census Tract 701, Audubon County, Iowa","19009070100",716,374,2.26,16,0,166,159,150,353,418,126,316.814159292035
"Block Group 2, Census Tract 702, Audubon County, Iowa","19009070200",817,439,1.88,0,0,141,246,161,423,454,124,434.574468085106
"Block Group 3, Census Tract 702, Audubon County, Iowa","19009070200",648,335,2,0,2,160,166,83,310,257,55,324
"Block Group 1, Census Tract 4804, Hardin County, Iowa","19083480400",675,271,2.26,0,48,145,113,184,394,349,69,298.672566371681
"Block Group 3, Census Tract 4804, Hardin County, Iowa","19083480400",1123,569,2.53,25,0,269,177,283,601,634,123,443.873517786561
"Block Group 1, Census Tract 4801, Hardin County, Iowa","19083480100",482,231,2.06,48,0,57,117,134,288,245,44,233.980582524272
"Block Group 3, Census Tract 4806, Hardin County, Iowa","19083480600",1019,472,2.52,23,77,294,216,130,382,300,79,404.365079365079
"Block Group 1, Census Tract 4805, Hardin County, Iowa","19083480500",486,235,2,8,2,89,88,122,284,264,13,243
"Block Group 2, Census Tract 4805, Hardin County, Iowa","19083480500",707,322,2.73,5,0,204,130,199,355,385,56,258.974358974359
"Block Group 4, Census Tract 4805, Hardin County, Iowa","19083480500",796,394,2.31,14,0,163,172,173,394,467,90,344.588744588745
"Block Group 1, Census Tract 4802, Hardin County, Iowa","19083480200",710,320,2.02,38,41,148,162,217,355,277,70,351.485148514851
"Block Group 1, Census Tract 706, Clayton County, Iowa","19043070600",688,327,2.23,0,0,115,139,159,380,361,122,308.520179372197
"Block Group 2, Census Tract 706, Clayton County, Iowa","19043070600",1377,706,2.64,13,5,345,191,286,816,674,140,521.590909090909
"Block Group 3, Census Tract 701, Clayton County, Iowa","19043070100",1070,531,1.96,9,0,179,317,227,530,457,117,545.918367346939
"Block Group 2, Census Tract 701, Clayton County, Iowa","19043070100",959,449,2.6,39,0,288,188,146,400,417,116,368.846153846154
"Block Group 1, Census Tract 704, Clayton County, Iowa","19043070400",479,227,2.03,0,0,60,128,135,275,297,30,235.960591133005
"Block Group 3, Census Tract 108, Linn County, Iowa","19113010800",2557,1337,2.58,80,48,627,376,699,1461,1313,183,991.085271317829
"Block Group 4, Census Tract 2.03, Linn County, Iowa","19113000203",2207,969,3.53,108,11,666,245,1025,1260,1211,132,625.212464589235
"Block Group 1, Census Tract 2.07, Linn County, Iowa","19113000207",971,469,2.62,0,184,230,93,148,476,250,0,370.610687022901
"Block Group 2, Census Tract 2.07, Linn County, Iowa","19113000207",3467,1856,1.96,63,115,669,885,1319,1892,1302,344,1768.87755102041
"Block Group 2, Census Tract 2.06, Linn County, Iowa","19113000206",5330,2659,2.86,51,64,1404,544,2272,2830,2641,174,1863.63636363636
"Block Group 1, Census Tract 11.02, Linn County, Iowa","19113001102",1626,702,1.81,25,46,229,278,619,1007,609,120,898.342541436464
"Block Group 1, Census Tract 11.01, Linn County, Iowa","19113001101",1688,968,2.21,66,0,195,549,542,734,748,268,763.800904977376
"Block Group 3, Census Tract 11.01, Linn County, Iowa","19113001101",1358,556,2.51,22,166,200,238,428,791,673,103,541.035856573705
"Block Group 2, Census Tract 9602, Wapello County, Iowa","19179960200",1449,760,2.34,109,154,257,243,160,603,478,249,619.230769230769
"Block Group 1, Census Tract 9603, Wapello County, Iowa","19179960300",1370,674,2.28,138,51,299,333,385,679,709,154,600.877192982456
"Block Group 1, Census Tract 6901, Worth County, Iowa","19195690100",684,346,2.36,45,24,136,175,132,292,275,80,289.830508474576
